Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,25.0,34.29,17.73,6.93,-7.61,10.37,306.08,62.04,-16.54,-17.27
3-Year Average,50.28,34.66,,25.49,19.13,5.17,2.93,60.58,93.65,76.43,
5-Year Average,80.58,,41.62,31.02,,14.32,11.51,39.13,48.31,41.14,
10-Year Average,,,,,49.19,43.68,,40.37,39.39,,
