Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,-653.0,679.0,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,254.71,79.45,62.32,27.15,46.8,69.95,53.64,58.63,73.82,40.23,40.02
Free Cash Flow/Sales %,-155.98,-10.62,-13.75,30.9,8.28,-9.57,12.52,4.69,-31.51,10.34,14.21
Free Cash Flow/Net Income,-2.38,-0.35,28.97,1.79,0.4,-0.29,0.46,0.11,-0.41,0.32,0.4
