Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,187.18,29.71,18.89,-60.8,238.43,6.33,17.76,-13.03,54.05,22.36
3-Year Average,,69.26,,64.22,-15.44,16.41,12.15,61.82,2.88,16.42,
5-Year Average,,,,49.54,,42.5,16.82,14.58,7.64,41.52,
10-Year Average,,,,,,,,,26.87,,
