Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,12.52,1.03,0.68,10.66,7.95,6.05,7.93,-10.39,6.67,6.1,5.55
3-Year Average,1.07,-0.05,4.6,4.03,6.35,8.2,7.3,0.85,1.04,0.47,
5-Year Average,4.19,2.72,0.99,2.15,6.46,5.2,6.6,4.15,3.38,3.03,
10-Year Average,6.22,4.82,4.16,3.48,4.29,4.7,4.64,2.55,2.77,4.73,
