Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,50.64,,,580.75,78.0,-29.03,-21.76,,,,
3-Year Average,15.94,,-46.29,-11.2,,104.88,-0.39,,,,
5-Year Average,25.33,,-30.66,-1.17,13.43,-2.42,,,,,
10-Year Average,14.82,,,-6.08,75.88,10.59,,,,,
