Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-9.26,,,,-50.0,97.06,-54.62,-4.62,-6.9,-44.44,31.25
3-Year Average,11.87,,,-22.66,,,-23.53,-5.16,-26.14,-20.98,
5-Year Average,7.2,,,,-26.82,-14.54,,,-16.87,-15.1,
10-Year Average,5.64,,,-9.6,-14.78,-4.29,-12.46,-12.07,,-21.18,
