Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,43.82,43.73,41.23,40.86,42.69,41.87,41.44,41.49,41.38,39.96,39.81
Gross Margin,56.18,56.27,58.77,59.14,57.31,58.13,58.56,58.51,58.62,60.04,60.19
SG&A,36.06,35.37,34.46,34.79,34.41,34.71,35.72,34.62,34.08,34.54,35.18
R&D,,,,,,,,,,,
Other,0.88,0.67,0.72,1.93,-0.05,0.66,2.42,3.3,7.15,0.24,1.32
Operating Margin,19.24,20.23,23.59,22.42,22.95,22.76,20.41,20.59,17.39,25.25,23.69
Net Int Inc & Other,-1.14,-0.63,-0.5,-0.38,-0.31,-0.09,0.05,-0.14,-0.16,-0.65,-0.62
EBT Margin,18.1,19.6,23.08,22.04,22.64,22.67,20.46,20.45,17.23,24.6,23.06
