Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,,,,,,-71.51,-104.99,-87.81,-112.25,-58.49,-58.49
Financial Leverage (Average),,,,,,1.09,1.22,2.71,2.37,3.02,3.02
Return on Equity %,,,,,,-77.85,-120.64,-165.48,-284.47,-158.53,-158.53
Return on Invested Capital %,,,,,,-77.85,-120.9,-85.69,-125.69,-40.78,-40.78
Interest Coverage,,,,,,,,,-10.81,-3.92,-3.92
