Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,13.47,-9.44,11.74,-1.48,9.42,8.83,2.93,4.1,-6.36,3.96
3-Year Average,,6.21,3.41,4.72,-0.1,6.4,5.47,7.02,5.25,0.11,
5-Year Average,,14.03,4.4,3.93,4.01,4.36,3.49,6.18,4.68,3.62,
10-Year Average,,16.93,9.59,18.67,9.76,24.57,8.63,5.28,4.31,3.82,
