Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,5.91,-14.06,15.1,15.04,5.15,-1.67,6.41,-23.76,-18.83,-1.46,112.35
3-Year Average,8.75,2.16,1.57,6.44,12.32,7.7,3.24,-7.26,-13.0,-15.2,
5-Year Average,11.06,4.84,4.93,8.13,6.12,4.76,8.73,1.21,-7.4,-8.6,
10-Year Average,,,,,12.57,7.64,6.9,2.92,0.61,-1.0,
