Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,27.33,20.25,15.76,16.81,16.54,17.44,16.98,12.83
Net Margin %,,,,4.57,7.14,6.94,7.36,7.94,9.56,7.54,8.0
Asset Turnover (Average),,,,1.29,1.59,1.61,1.55,1.56,1.33,1.37,1.31
Return on Assets %,,,,5.9,11.33,11.16,11.42,12.4,12.76,10.36,10.5
Financial Leverage (Average),,,,1.96,5.41,4.34,3.79,4.28,5.32,5.12,4.42
Return on Equity %,,,,11.93,31.25,53.41,46.12,49.84,60.92,54.05,47.96
Return on Invested Capital %,,,,11.39,21.24,27.81,26.47,28.7,28.02,22.38,20.61
Interest Coverage,,,,32.47,13.24,10.89,11.65,13.63,12.87,10.13,12.8
