Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-2.23,8.07,5.43,-14.46,-13.15,21.46,-37.65,16.9,26.59,23.56,
Free Cash Flow Growth % YOY,-22.47,42.31,33.93,-18.9,-22.85,23.17,-61.4,43.62,61.75,17.54,
Cap Ex as a % of Sales,4.04,2.86,1.73,1.88,2.24,2.63,2.95,2.76,2.54,3.39,3.42
Free Cash Flow/Sales %,3.88,5.19,7.83,6.54,4.99,6.13,2.26,3.15,5.4,6.22,6.1
Free Cash Flow/Net Income,0.81,1.31,-0.62,1.19,1.53,1.67,0.65,0.81,1.17,1.18,0.97
