Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-94.14,419.67,130.79,62.92,-11.57,-64.76,
3-Year Average,,,,,,,-11.08,169.34,49.26,-20.22,
5-Year Average,,,,6.92,-54.65,,,,0.26,43.52,
10-Year Average,,,,17.11,-8.23,6.77,16.14,5.85,3.53,-19.32,
