Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,57.39,53.93,-22.65,31.73,16.6,-8.29,97.92,1.93,
Free Cash Flow Growth % YOY,,,105.47,63.89,-40.35,46.1,19.93,-66.27,336.56,14.06,
Cap Ex as a % of Sales,10.04,3.21,3.03,3.54,4.57,4.49,4.84,9.77,9.24,6.78,8.63
Free Cash Flow/Sales %,14.17,4.27,8.85,13.55,7.19,9.47,11.17,3.37,12.06,11.71,7.45
Free Cash Flow/Net Income,1.05,-1.21,1.94,2.14,0.82,1.0,1.24,0.28,1.34,2.7,1.02
