Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,228.25,,,13.36,49.7,10.47,-0.43,37.93,-19.9,24.79,
3-Year Average,62.51,,124.14,57.25,,23.3,18.09,14.91,3.23,11.3,
5-Year Average,,,71.24,69.11,80.4,45.1,,20.82,12.72,8.69,
10-Year Average,,,,,,,59.61,43.84,38.06,40.03,
