Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,34.31,-11.94,-0.72,31.83,5.71,0.17,22.51,30.38,13.33,32.19,20.0
3-Year Average,-37.65,-40.62,5.5,4.85,11.43,11.76,9.06,16.96,21.87,25.0,
5-Year Average,-26.13,-26.45,-26.68,-22.81,10.35,4.06,11.17,17.39,13.9,19.11,
10-Year Average,,,,,,-12.32,-9.57,-7.22,-6.23,14.64,
