Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,20.79,,,40.72,12.05,-40.68,-16.89,70.97,92.03,-63.13,
3-Year Average,21.87,,6.94,12.52,,-2.2,-17.95,-5.54,39.74,6.57,
5-Year Average,30.99,,12.88,13.0,14.03,-1.08,,5.85,12.65,-9.81,
10-Year Average,,,,,48.76,13.83,7.65,9.31,12.82,1.41,
