Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,20.58,7.33,18.4,22.0,-20.23,13.98,
Free Cash Flow Growth % YOY,,,,,16.36,3.48,38.16,19.85,-21.95,11.41,
Cap Ex as a % of Sales,,,,3.62,3.93,4.54,4.53,5.52,4.64,4.97,4.67
Free Cash Flow/Sales %,,,,4.65,4.66,4.98,7.1,8.26,6.59,6.68,5.32
Free Cash Flow/Net Income,,,,1.02,0.65,0.72,0.88,0.95,0.69,0.89,0.67
