Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,374.75,-42.65,-12.76,-29.36,37.3,62.86,-22.6,-15.04,3.32,
Free Cash Flow Growth % YOY,,743.27,-46.37,-9.54,-37.81,37.3,72.6,-24.02,-14.1,6.56,
Cap Ex as a % of Sales,2.59,2.4,2.34,2.14,2.85,3.9,4.86,4.0,3.29,2.94,3.15
Free Cash Flow/Sales %,2.69,22.69,12.83,15.26,9.66,13.21,21.91,16.35,14.23,15.18,16.49
Free Cash Flow/Net Income,-0.36,1.91,1.04,1.11,1.05,0.88,1.39,1.06,1.16,1.13,1.25
