Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.21,7.33,-13.79,42.52,4.59,-1.04,-4.27,-8.84,-7.65,-40.31,-40.72
3-Year Average,1.43,3.89,-1.52,9.66,8.72,13.83,-0.31,-4.77,-6.94,-20.5,
5-Year Average,0.69,2.32,-0.7,6.62,7.32,6.42,4.01,5.18,-3.56,-13.8,
10-Year Average,-1.01,-0.99,-2.34,1.47,2.9,3.52,3.16,2.2,1.4,-3.82,
