Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,22.63,17.86,-28.28,54.93,54.09,-58.41,24.82,15.91,-21.08,89.44,-10.94
3-Year Average,54.0,-14.96,1.2,9.41,19.63,-0.24,-7.17,-15.57,4.52,20.11,
5-Year Average,,33.9,25.29,-7.34,19.87,-3.44,-2.33,7.51,-6.05,-2.09,
10-Year Average,,,,,,,14.36,16.06,-6.7,8.33,
