Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,62.58,61.06,61.03,119.34
Days Inventory,,,,,,,,12.74,7.27,5.27,4.63
Payables Period,,,,,,,,96.57,74.41,95.36,385.61
Cash Conversion Cycle,,,,,,,,-21.25,-6.09,-29.07,-261.64
Receivables Turnover,,,,,,,,5.83,5.98,5.98,3.06
Inventory Turnover,,,,,,,,28.66,50.23,69.23,78.85
Fixed Assets Turnover,,,,,,,,40.56,37.23,8.08,5.24
Asset Turnover,,,,,,,,0.47,0.48,0.34,0.28
