Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.35,-3.28,15.99,3.58,15.61,-5.41,6.51,-1.28,-12.82,17.14,6.1
3-Year Average,10.88,5.4,7.7,5.13,11.58,4.24,5.22,-0.18,-2.86,0.27,
5-Year Average,8.68,7.72,8.87,7.07,8.39,4.91,6.95,3.56,0.05,0.31,
10-Year Average,9.28,9.22,10.81,9.96,9.13,6.78,7.34,6.18,3.5,4.27,
