Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,41.73,54.73,-11.7,-3.92,84.36,-3.01,11.58,15.71,-4.62,-2.91,
Free Cash Flow Growth % YOY,42.04,54.87,-8.16,-7.71,87.13,-3.91,10.82,18.13,-2.2,-1.99,
Cap Ex as a % of Sales,2.82,3.48,1.61,2.46,3.19,3.0,3.35,2.78,1.71,1.26,1.79
Free Cash Flow/Sales %,30.17,37.64,32.0,26.3,41.3,34.39,35.31,38.38,37.27,34.84,37.42
Free Cash Flow/Net Income,1.41,1.61,1.42,1.0,1.58,1.35,1.24,1.41,1.39,1.3,1.44
