Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,1.45,-21.99,37.05,8.39,-9.76,-2.5,8.77,19.91,-0.4,49.28,53.56
3-Year Average,2.64,-7.83,2.74,5.04,10.26,-1.57,-1.45,8.34,9.11,21.26,
5-Year Average,4.76,-5.22,2.94,3.07,1.19,0.39,7.29,4.46,2.71,13.59,
10-Year Average,7.7,3.34,0.69,2.77,4.69,2.55,0.84,3.7,2.89,7.21,
