Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,60.3,56.08,,,,,,,,,
Gross Margin,39.7,43.92,,,,,,,,,
SG&A,4.01,,,,,,,,,,
R&D,,,,,,,,,,,
Other,5.64,14.8,28.49,45.15,18.28,24.76,40.83,46.9,28.02,22.69,24.64
Operating Margin,31.33,32.44,75.26,57.93,83.21,6.36,61.09,54.33,73.34,78.43,76.1
Net Int Inc & Other,1.98,-365.61,-300.73,-157.9,-63.27,-26.99,-72.83,-5.44,253.64,166.37,223.25
EBT Margin,33.31,-333.17,-225.47,-99.97,19.94,-20.62,-11.74,48.9,326.99,244.8,299.35
