Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-505.0,-422.0,112.0,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,146.87,73.3,46.78,118.51,49.62,96.23,70.21,72.16,69.51,41.42,47.48
Free Cash Flow/Sales %,-96.51,-28.93,-4.58,-75.73,-3.29,-46.25,-20.26,-21.38,-17.82,13.64,8.41
Free Cash Flow/Net Income,-3.16,-1.9,-0.51,-8.65,-0.33,-1.98,-0.79,-1.7,-0.92,0.43,0.22
