Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,,,,,,,,,,
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,,,,,,,,,,
Earnings Per Share AUD,,,,,,,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,,,35.0,35.0
Book Value Per Share * AUD,,,,,,,,,,,0.08
Operating Cash Flow AUD Mil,,,,,,,,,,,
Cap Spending AUD Mil,,,,,,,,,,,
Free Cash Flow AUD Mil,,,,,,,,,,,
Free Cash Flow Per Share * AUD,,,,,,,,,,,
Working Capital AUD Mil,,,,,,,,,,6.0,
