Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,-7.03,-7.03,-6.58,-4.23,-2.44,-1.36,2.33,2.3,3.21
Asset Turnover (Average),,,1.43,1.54,2.08,1.9,1.84,2.22,1.5,1.34,1.47
Return on Assets %,,,-10.03,-10.84,-13.71,-8.06,-4.48,-3.01,3.5,3.07,4.73
Financial Leverage (Average),,,12.04,,,6.13,4.67,5.21,4.46,3.94,
Return on Equity %,,,-120.79,-344.81,,-435.21,-23.77,-14.79,16.82,12.83,
Return on Invested Capital %,,,-11.8,-12.51,,-15.28,-9.01,-6.49,8.47,9.69,
Interest Coverage,,,-3.23,-2.61,,,,,1.46,3.68,
