Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,56.53,55.42,58.77,63.37,59.89,60.14,66.07,65.54,78.09,73.5,73.42
Gross Margin,43.47,44.58,41.23,36.63,40.11,39.86,33.93,34.46,21.91,26.5,26.58
SG&A,,,,,2.07,3.88,4.41,3.08,3.88,2.7,2.14
R&D,,,,,,,,,,,
Other,1.79,2.27,2.2,-7.54,-8.13,2.84,,13.42,6.35,1.11,0.85
Operating Margin,41.85,43.17,39.87,44.53,46.16,33.14,75.91,17.96,11.67,22.69,23.59
Net Int Inc & Other,0.05,1.41,1.49,0.89,1.31,1.35,0.06,2.43,1.18,2.02,0.91
EBT Margin,41.9,44.58,41.37,45.42,47.47,34.49,75.97,20.39,12.86,24.71,24.5
