Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,36.7,156.2,-92.18,426.64,43.98,-54.98,21.37,-23.02,-47.56,353.39,
Free Cash Flow Growth % YOY,,259.83,,,138.01,-59.88,30.54,-29.4,-51.15,374.61,
Cap Ex as a % of Sales,1.24,1.09,0.67,1.47,0.26,0.34,0.24,0.32,0.2,0.62,1.28
Free Cash Flow/Sales %,1.97,6.82,-0.09,1.97,4.8,1.87,2.41,1.61,0.71,2.68,1.43
Free Cash Flow/Net Income,0.76,2.65,0.01,-0.25,2.81,2.97,1.35,0.97,0.49,2.23,1.07
