Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-14.81,-16.16,-10.24,-8.84,-8.16,-28.19,-16.13,-5.13,-6.46,-5.57,-5.57
Financial Leverage (Average),1.01,1.02,1.02,1.01,1.02,1.02,1.03,1.01,1.04,1.01,1.01
Return on Equity %,-15.03,-16.41,-10.42,-8.96,-8.28,-28.71,-16.46,-5.23,-6.62,-5.68,-5.68
Return on Invested Capital %,-21.78,-21.97,-12.52,-10.38,-9.46,-29.32,-16.95,-5.41,-6.53,-5.77,-5.77
Interest Coverage,,,,,,-880.44,,,,-131.55,-131.55
