Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,92.55,-15.96,47.17,65.04,-10.82,37.62,64.58,74.42,24.66,1.51,
3-Year Average,63.04,,33.54,26.85,29.39,26.53,26.41,58.08,52.96,30.2,
5-Year Average,,33.01,39.91,,28.51,20.16,37.45,42.2,34.44,37.97,
10-Year Average,18.85,15.16,16.04,,,,35.21,41.05,,33.16,
