Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-49.61,-40.96,,,37.88,-76.96,,,,,
3-Year Average,6.01,-25.61,,17.54,55.94,,,3.68,,,
5-Year Average,69.41,-11.73,,2.51,2.44,-12.4,,,,,
10-Year Average,,,,14.8,23.64,21.82,,11.51,,,
