Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,323.73,38.8,11.1,7.26,14.99,0.42,-4.29,-7.44,-7.45,-1.02,
3-Year Average,256.88,63.43,86.95,18.26,11.07,7.39,3.39,-3.82,-6.41,-5.35,
5-Year Average,,94.39,133.96,39.07,51.8,13.82,5.66,1.87,-1.09,-4.01,
10-Year Average,-8.14,1.04,1.03,,,,43.32,54.38,17.28,20.71,
