Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,128.5,,,39.44,0.79,-36.39,-7.96,-98.19,,,155.43
3-Year Average,110.42,,31.36,11.42,,-3.66,-16.12,-78.02,,,
5-Year Average,59.24,,56.01,33.02,26.08,-2.37,,-56.87,,,
10-Year Average,25.73,,27.27,33.77,32.62,24.69,20.58,-17.98,,,
