Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,199.21,-37.95,-85.96,422.34,115.39,-69.66,-31.08,296.34,-47.05,-12.03,
3-Year Average,46.64,37.56,-36.12,-23.08,16.47,50.56,-23.35,-6.07,13.09,22.67,
5-Year Average,54.79,33.08,-22.77,13.81,24.01,-21.54,-19.87,56.29,-1.12,-17.34,
10-Year Average,37.55,30.12,2.99,13.3,26.24,10.2,3.27,9.86,6.08,1.25,
