Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,60.83,55.77,71.29,55.48,57.52,59.99,63.18,64.21,64.77,68.91,67.35
Days Inventory,,,,,,,,,,,
Payables Period,56.85,51.0,71.92,51.18,54.0,54.8,56.08,56.48,58.33,63.64,63.33
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,6.0,6.54,5.12,6.58,6.35,6.08,5.78,5.68,5.64,5.3,5.42
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,11.03,11.37,8.27,12.0,11.86,10.92,10.86,11.92,12.45,11.49,12.65
Asset Turnover,2.69,2.7,1.85,2.39,2.21,2.06,2.04,2.22,2.42,2.27,2.26
