Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,29.38,16.31,-6.9,18.93,42.41,10.44,-3.13,-14.81,5.12,1.07,0.32
3-Year Average,14.1,18.67,11.9,8.8,16.39,23.21,15.07,-3.05,-4.63,-3.27,
5-Year Average,12.63,13.41,9.97,13.1,18.86,15.16,11.02,9.07,6.41,-0.64,
10-Year Average,9.11,10.54,7.79,8.88,12.67,13.89,12.21,9.52,9.7,8.67,
