Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.68,11.17,-0.02,1.55,7.52,2.1,1.96,-0.82,-7.19,-5.23,2.77
3-Year Average,9.22,10.39,7.79,4.12,2.96,3.69,3.83,1.07,-2.09,-4.45,
5-Year Average,8.21,9.13,7.69,6.43,6.46,4.38,2.59,2.42,0.6,-1.91,
10-Year Average,4.29,5.5,5.33,5.22,5.91,6.28,5.81,5.02,3.47,2.19,
