Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-69.8,,,-5.25,-31.62,,,
3-Year Average,60.9,,,-18.35,,-23.09,12.58,,,,
5-Year Average,,,49.65,-9.46,,-3.9,,-21.68,,,
10-Year Average,,,,,,,,8.26,,,
