Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,24.3,19.43,-29.61,54.94,53.94,-58.0,26.83,16.99,-20.92,94.07,
3-Year Average,59.25,-15.84,1.47,9.21,18.85,0.06,-6.4,-14.58,5.48,21.54,
5-Year Average,,24.71,27.69,-8.25,20.04,-3.38,-2.21,8.25,-5.37,-0.89,
10-Year Average,,,,,,,10.43,17.57,-6.82,9.07,
