Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,284.18,,,42.3,-46.56,196.79,-39.25,50.57,-28.67,122.12,
3-Year Average,48.2,,-24.11,-45.5,,31.17,-1.23,39.5,-13.27,33.62,
5-Year Average,,,-18.02,-9.44,-19.77,-23.81,,15.6,0.69,33.88,
10-Year Average,26.42,,-2.66,-0.41,3.38,,-0.41,-2.65,-4.51,3.64,
