Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,110.94,23.17,152.99,7.78,100.24,34.38,33.33,27.95,5.35,-16.32,
3-Year Average,70.83,0.13,87.32,49.75,76.09,42.61,53.09,31.86,21.58,4.1,
5-Year Average,,74.62,73.08,22.31,69.97,55.31,57.79,37.68,37.06,15.11,
10-Year Average,,,,,,,65.99,54.37,29.47,39.88,
