Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,200.33,57.03,-55.39,254.1,43.78,-35.93,4.21,
3-Year Average,,,,,,28.14,35.37,31.45,48.3,-1.35,
5-Year Average,,,-30.99,0.55,,,,60.68,17.97,8.68,
10-Year Average,,,,,-1.8,-10.69,11.76,11.83,10.15,,
