Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,11.71,1.84,,28.52,5.37,,20.68,33.67
Net Margin %,,-20.77,100.1,3.44,5.05,3.19,2.43,1.8,6.36,5.67,1.89
Asset Turnover (Average),,1.64,0.92,0.99,1.06,1.04,0.98,0.91,0.82,0.8,0.73
Return on Assets %,,-33.99,92.1,3.39,5.35,3.31,2.39,1.63,5.21,4.53,1.4
Financial Leverage (Average),,,6.41,5.39,5.21,5.78,4.21,5.01,4.88,5.06,5.43
Return on Equity %,,,,19.85,28.35,18.14,11.54,7.48,25.72,22.52,7.18
Return on Invested Capital %,,,,11.45,18.75,10.86,6.56,3.79,10.75,8.48,2.74
Interest Coverage,,-10.67,17.74,6.22,12.08,-60.88,23.33,11.53,18.42,21.43,19.24
