Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,34.72,-27.89,-57.71,136.16,5.09,4.29,12.06,4.55,-1.25,-1.73,
3-Year Average,42.98,,-25.66,-10.36,1.63,37.3,7.09,6.91,4.98,0.49,
5-Year Average,31.81,10.81,-2.27,,0.39,-4.62,4.17,24.84,4.86,3.47,
10-Year Average,21.37,12.24,-4.07,-2.6,6.45,12.13,7.44,10.46,,1.92,
