Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,,,,,-1.0,-3.0,-4.0,-3.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,,,,,,-1.0,-3.0,-4.0,-2.0,-1.0,-1.0
Earnings Per Share AUD,,,,,,-0.02,-0.04,-0.05,-0.02,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,49.0,74.0,77.0,79.0,148.0,148.0
Book Value Per Share * AUD,,,,,,,0.11,0.06,0.02,0.05,0.05
Operating Cash Flow AUD Mil,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,,,,,,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0
Free Cash Flow AUD Mil,,,,,,-2.0,-1.0,-1.0,-1.0,-3.0,-3.0
Free Cash Flow Per Share * AUD,,,,,,,-0.02,-0.02,-0.01,-0.02,
Working Capital AUD Mil,,,,,,3.0,1.0,1.0,1.0,1.0,
