Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,26.69,8.63,10.6,12.29,11.71,6.32,9.39,5.63,2.63,5.12,6.39
3-Year Average,21.93,14.29,15.03,10.5,11.53,10.08,9.12,7.1,5.85,4.45,
5-Year Average,14.41,12.42,16.84,13.14,13.81,9.89,10.04,9.03,7.09,5.8,
10-Year Average,20.0,15.87,14.55,15.11,14.7,12.13,11.22,12.87,10.07,9.73,
