Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,23.5,11.36,-0.79,5.32,22.04,12.93,63.69,19.93,9.62,7.81,10.73
3-Year Average,19.09,18.85,10.91,5.18,8.44,13.23,31.16,30.39,29.11,12.33,
5-Year Average,16.03,16.16,13.29,11.9,11.89,9.91,18.71,23.3,24.29,21.24,
10-Year Average,15.88,14.52,12.1,11.3,12.8,12.93,17.43,18.19,17.93,16.47,
