Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-10.91,16.43,-43.2,-30.18,-5.69,-63.6,1213.94,-16.28,85.76,-26.58,
3-Year Average,-11.0,-4.57,-16.17,-22.71,-27.95,-37.88,65.22,58.79,173.39,4.52,
5-Year Average,6.24,15.88,-14.15,-19.19,-17.25,-30.82,12.33,21.39,47.64,40.43,
10-Year Average,8.44,8.04,-1.4,-14.21,19.98,-14.27,14.09,2.08,9.23,7.79,
