Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,136.0,,,-12.63,-14.46,9.86,126.92,,31.64,60.32
3-Year Average,52.86,289.3,,23.86,-11.07,,-6.36,28.72,35.59,44.02,
5-Year Average,,,,116.44,,7.26,-7.95,,13.25,22.93,
10-Year Average,,,,,,,,28.88,56.56,,
