Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,74.24,89.97,88.01,84.64,79.0,74.3,80.8,81.37,83.51,85.54,84.3
Days Inventory,,,,,,,,,,,
Payables Period,5.28,6.18,5.38,6.46,8.2,7.05,6.81,7.02,12.37,13.37,9.11
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,4.92,4.06,4.15,4.31,4.62,4.91,4.52,4.49,4.37,4.27,4.33
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,16.33,7.59,6.65,6.64,7.06,8.61,10.15,11.48,11.44,11.4,12.03
Asset Turnover,1.41,1.01,0.95,0.89,0.84,0.8,0.71,0.74,0.71,0.69,0.6
