Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,40.27,41.05,47.95,46.22,46.44,46.21,46.08,43.81,42.75,39.72,37.73
R&D,,,,,,,,,,,
Other,22.63,19.37,24.11,34.92,23.61,23.86,22.56,21.32,21.64,20.3,20.09
Operating Margin,37.1,39.25,27.0,18.22,29.56,29.6,31.38,34.94,35.78,40.05,42.18
Net Int Inc & Other,,,,,,,,,,,
EBT Margin,37.1,39.58,27.94,18.85,29.94,29.92,31.36,34.87,35.61,39.98,42.18
