Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,-233.0,,,,202.0,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,33.35,46.23,29.81,60.01,22.8,37.66,107.49,70.59,52.78,80.98,162.73
Free Cash Flow/Sales %,0.69,5.72,1.19,-27.0,5.14,-9.04,-62.52,-28.13,-12.82,-31.08,-113.05
Free Cash Flow/Net Income,0.02,0.66,-0.06,-4.86,0.65,1.28,-3.18,-1.44,-0.2,-0.9,-0.69
