Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,35.3,32.1,52.02,65.96,44.58,9.2,6.95,27.86,-7.73,6.3,12.22
3-Year Average,32.6,30.48,39.54,49.37,53.94,37.86,19.08,14.3,8.06,7.84,
5-Year Average,39.23,38.97,36.17,41.16,45.49,39.39,33.63,29.08,14.78,7.93,
10-Year Average,18.52,21.47,23.37,35.05,39.17,39.31,36.27,32.58,27.29,25.31,
