Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-3.2,7.19,3.39,9.74,-17.42,14.26,-9.25,-6.42,-10.09,-7.52
3-Year Average,,,,2.37,6.74,-2.15,1.17,-5.04,-1.0,-8.6,
5-Year Average,,,,,,-0.56,2.79,-0.58,-2.54,-6.35,
10-Year Average,,,,,,,,,,,
