Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,-627.0,,-189.0,,
Free Cash Flow Growth % YOY,832.0,,,,925.0,,,,,199.0,
Cap Ex as a % of Sales,11.39,9.79,8.04,6.3,6.19,9.03,11.17,14.79,10.46,9.56,9.05
Free Cash Flow/Sales %,1.9,3.51,2.91,6.6,5.42,4.62,0.45,0.93,4.31,4.83,4.02
Free Cash Flow/Net Income,0.16,0.41,0.34,0.77,0.7,0.58,0.08,0.13,0.85,1.22,0.66
