Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,11.23,10.13,10.07,10.62,10.39,10.99,14.46,15.0,15.52,14.0,13.85
Gross Margin,88.77,89.87,89.93,89.38,89.61,89.01,85.54,85.0,84.48,86.0,86.15
SG&A,39.88,39.85,43.47,42.83,42.7,44.31,52.79,52.94,46.19,42.5,39.45
R&D,19.42,18.49,19.18,17.9,17.5,16.87,20.38,20.36,17.99,16.67,16.77
Other,2.31,2.8,3.83,2.51,3.33,1.04,1.94,1.74,1.46,1.32,1.08
Operating Margin,27.16,28.72,23.44,26.13,26.07,26.8,10.42,9.95,18.83,25.51,28.84
Net Int Inc & Other,2.84,1.4,0.37,-1.31,-1.52,-1.39,-1.64,-1.24,-0.61,-1.0,-0.58
EBT Margin,29.99,30.13,23.81,24.82,24.55,25.41,8.78,8.71,18.22,24.51,28.27
