Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-35.38,225.0,171.06,-48.11,48.44,-11.93,
3-Year Average,,,,,,,78.55,65.97,27.81,-12.13,
5-Year Average,,,,,,,,,34.4,42.98,
10-Year Average,,,,,,,,,,,
