Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-6.2,-79.74,110.87,24.95,113.7,-7.72,-3.01,-16.39,-51.08,,
3-Year Average,9.73,-38.27,-26.27,-18.87,77.9,35.06,24.13,-9.21,-26.53,,
5-Year Average,65.65,-8.57,-10.8,-9.13,1.37,1.04,38.19,14.85,-4.79,,
10-Year Average,-2.43,-5.26,-10.21,,,29.37,12.4,1.21,-6.99,,
