Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,21.78,-39.05,4.52,0.55,24.26,-3.41,23.41,28.3,13.88,12.03,2.86
3-Year Average,56.55,9.41,-8.11,-13.8,9.31,6.47,13.99,15.21,21.71,17.85,
5-Year Average,21.39,8.09,19.57,6.6,-0.62,-5.12,9.26,13.83,16.7,14.3,
10-Year Average,18.99,11.04,10.43,9.83,10.33,7.32,8.67,16.67,11.53,6.58,
