Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,738.33,230.26,,8096.45,22959.82,16782.17,,,,10.35,10.35
Days Inventory,,,,,,,,,,45.93,45.93
Payables Period,,,,,,,,,,106.65,106.65
Cash Conversion Cycle,,,,,,,,,,-50.38,-50.38
Receivables Turnover,0.49,1.59,,0.05,0.02,0.02,,,,35.26,35.26
Inventory Turnover,,,,,,,,,,7.95,7.95
Fixed Assets Turnover,0.14,0.42,,,,,,,,0.43,0.43
Asset Turnover,0.01,0.07,,,,,,,,0.32,0.32
