Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.95,14.83,-17.04,12.95,11.23,-0.25,6.25,2.92,-12.2,-2.25,7.58
3-Year Average,12.55,12.14,2.47,2.47,1.39,7.81,5.64,2.94,-1.35,-4.05,
5-Year Average,12.89,13.98,6.31,5.73,6.21,3.61,2.01,6.5,1.27,-1.31,
10-Year Average,7.1,8.37,6.8,7.21,8.11,8.15,7.83,6.41,3.48,2.38,
